Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09358326137727E-09,6.93360912185446E-09,4.65711934681501E-09,4.36619408758782E-09,8.21461909468869E-09,
American Samoa,ASM,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.032186113,0.038923291,0.08051779,0.218992843,1.052534541,1.283073862,1.353578431,1.534255103,1.382866974,2.669134592,2.499918331,1.633751062,1.0291575,1.260516109,1.397806838,1.765481454,0.929808215,1.13675373,0.690456565,0.707762594,1.112684777,0.667949182,0.630488717,0.650916077,0.51450724,0.565691243,0.573703703,0.47694619,0.305097561,0.352848884,0.840936514,0.793400815,0.845214458,0.830558515,0.860469961,0.975027946,0.966220181,0.953483618,1.209567795,0.77253342,0.981467733,1.155312295,0.771534854,0.627432347,0.755451089,0.567565619,0.591410295,0.760358992,1.140491325,1.317328119,1.116272098,1.631390731,
Austria,AUT,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.039869299,0.064368207,0.074892158,0.082161675,0.310162975,0.269642016,0.250932026,0.213162752,0.18834218,0.327717212,0.309384222,0.23057814,0.128100016,0.168430464,0.173985889,0.160345408,0.055786713,0.056254482,0.044082818,0.066235156,0.078399692,0.042454148,0.034008836,0.03759526,0.029524895,0.031762639,0.038217515,0.037638593,0.00873956,0.024034771,0.067130685,0.070905659,0.06034519,0.056305263,0.061828707,0.064298638,0.086622063,0.078547181,0.113084758,0.077622956,0.081246492,0.102713354,0.121362431,0.102807587,0.092003386,0.049958356,0.030894465,0.041704775,0.055675757,0.043679511,0.019312834,0.053805223,
Azerbaijan,AZE,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.56172816,29.86410647,16.10087866,16.92096217,12.08209175,3.907437072,13.41873369,27.86530899,20.81214326,9.472601005,9.703158534,11.24254708,21.05244762,27.49662664,30.12133532,32.01360976,22.11302344,20.630039,23.52943084,20.10439147,19.4088955,14.96488446,9.253421844,9.82405177,12.4047794,17.49947486,14.52730876,7.391455354,15.90941946,
Burundi,BDI,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,BEL,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.005577107,0.005885566,0.004494251,0.003309023,0.005605427,0.011032825,0.011585343,0.00983642,0.007125055,0.005930181,0.006223059,0.009278207,0.011590296,0.008624844,0.007533244,0.006839188,0.003229162,0.001209797,0.000265005,7.45109822780183E-05,0.000185237,0.000103065,2.14391581720503E-05,2.00329006458748E-05,4.42593040830741E-06,1.63735031021076E-06,1.34366421268128E-05,1.19284359230818E-06,0,4.01279842825187E-07,1.71510738461167E-05,0,0,0,0,4.52762712035888E-05,0.001206663,0,0,0,0.020815607,0.035380165,0.034087723,0.030509772,0.037183624,0.012217634,0.008923862,0.015873518,0.022746768,0.020947423,0.011279027,0.023870315,
Benin,BEN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.461805753,0.146131387,0.58802887,1.343315117,1.575756569,0.457019498,0.774138408,0.505229271,0.662497026,0.638933403,0.32284382,1.257871602,0.873948232,1.020994953,0.371400952,0.218435437,0.145476237,0.075117994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03646713,0.03636442,0.061896464,0.081396089,0.067996543,0.030002195,0,
Burkina Faso,BFA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,BGD,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,0.003970735,0.006747796,0.003904188,0.011780646,0.016706498,0.010083884,0.012820302,0.017373653,0.005921756,0.003109117,0.021308105,0.019192652,0.020026288,0.036467025,0.044563425,0.039324223,0.041762596,0.059994798,0.042513308,0.099135452,0.115471176,0.146057911,0.17501441,0.166459453,0.149190449,0.171143764,0.228512569,0.39410983,0.420932041,0.557059393,0.514687145,0.589941231,0.712923467,0.867766088,0.610609366,0.63779561,0.633601248,0.707459119,0.844432661,0.924824034,0.714295241,0.666762846,0.564822187,0.452783578,0.491954809,0.507953435,0.505144042,0.427212724,0.464798446,
Bulgaria,BGR,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0.270399734,0.410867542,0.457222199,0.264008706,0.19460457,0.286922306,0.086214832,0.061509147,0.061024642,0.106392012,0.183481617,0.163620627,0.110233012,0.019548721,0.029766544,0.044766811,0.043470279,0.022247393,0.023352837,0.01117648,0.085215495,0.12389472,0.041653388,0.034381233,0.261191618,0.1699287,0.201743159,0.215782323,0.453473209,0.12765775,0.258182133,0.423926799,0.219658693,0.120358167,0.083492841,0.055248787,0.046825725,0.062225333,0.061057009,0.042116895,0.026968882,0.056432354,
Bahrain,BHR,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,69.96136946,56.54637945,32.17644645,27.8152606,31.91654573,33.24045796,27.52666911,34.3724666,26.7657255,34.96618224,35.91626472,20.41865073,21.73700809,20.08089956,16.86025766,16.37635481,19.5916074,18.613187,12.78436296,17.41569983,21.08668229,18.03104486,17.5169242,17.69050899,19.13781376,22.74729342,23.02328721,21.36782319,24.49826152,18.83885887,21.3816881,29.64699953,23.1981887,24.42137393,22.63644346,12.73669999,9.720748126,11.24052348,14.76016529,13.83437924,11.23817188,,
"Bahamas, The",BHS,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
